,clasificacion,BARRIO
2020-05-03,0.0,BOEDO
2020-05-10,4.0,BOEDO
2020-05-17,2.0,BOEDO
2020-05-24,13.0,BOEDO
2020-05-31,25.0,BOEDO
2020-06-07,26.0,BOEDO
2020-06-14,37.0,BOEDO
2020-06-21,60.0,BOEDO
2020-06-28,60.0,BOEDO
2020-07-05,61.0,BOEDO
2020-07-12,68.0,BOEDO
2020-07-19,110.0,BOEDO
2020-07-26,86.0,BOEDO
2020-08-02,107.0,BOEDO
2020-08-09,124.0,BOEDO
2020-08-16,111.0,BOEDO
2020-08-23,90.0,BOEDO
2020-08-30,131.0,BOEDO
2020-09-06,138.0,BOEDO
2020-09-13,88.0,BOEDO
2020-09-20,73.0,BOEDO
2020-09-27,71.0,BOEDO
2020-10-04,83.0,BOEDO
2020-10-11,64.0,BOEDO
2020-10-18,79.0,BOEDO
2020-10-25,62.0,BOEDO
2020-11-01,46.0,BOEDO
2020-11-08,51.0,BOEDO
2020-11-15,44.0,BOEDO
2020-11-22,50.0,BOEDO
2020-11-29,30.0,BOEDO
2020-12-06,22.0,BOEDO
2020-12-13,34.0,BOEDO
2020-12-20,32.0,BOEDO
2020-12-27,74.0,BOEDO
2021-01-03,79.0,BOEDO
2021-01-10,127.0,BOEDO
2021-01-17,82.0,BOEDO
2021-01-24,98.0,BOEDO
2021-01-31,79.0,BOEDO
2021-02-07,99.0,BOEDO
2021-02-14,62.0,BOEDO
2021-02-21,56.0,BOEDO
2021-02-28,70.0,BOEDO
2021-03-07,64.0,BOEDO
2021-03-14,71.0,BOEDO
2021-03-21,52.0,BOEDO
2021-03-28,96.0,BOEDO
2021-04-04,193.0,BOEDO
